Timestamp,"How often do you feel that you are ""in tune"" with the people around you?",How often do you feel that you lack companionship?,How often do you feel that there is no one you can turn to?,How often do you feel alone?,How often do you feel part of a group of friends?,How often do you feel that you have a lot in common with the people around you?,How often do you feel that you are no longer close to anyone?,How often do you feel that your interests and ideas are not shared by those around you?,How often do you feel outgoing and friendly?,How often do you feel close to people?,How often do you feel left out?,How often do you feel that your relationships with others are not meaningful?,How often do you feel that no one really knows you well?,How often do you feel isolated from others?,How often do you feel you can find companionship when you want it?,How often do you feel that there are people who really understand you?,How often do you feel shy?,How often do you feel that people are around you but not with you?,How often do you feel that there are people you can talk to?,How often do you feel that there are people you can turn to?,I use social media more now than before the pandemic,I spend time communicating with people online every day ,I spend the whole day doing nothing but communicating with others online,I will communicate with others online as soon as I open my device,I prefer seeking for help online rather than face-to-face if there are difficulties or problems in my life,I prefer shopping with others online rather than face-to-face,I prefer online social interaction over face-to-face communication,I prefer to pour out my worries and troubles with others online rather than doing it face-to-face,I prefer to play digital games online with friends rather than play games face-to-face,I prefer communicating with people online rather than face-to-face,I prefer to seek supportive information from people online rather than face-to-face with people when I am in trouble,I feel more effective communicating with others online than during face-to-face interaction,I feel more comfortable communicating with others online than during face-to-face interaction ,I feel safer when communicating with others online than during face-to-face interaction ,I feel more intimate with online friends than offline friends,I feel more at ease and natural when communicating with others online than during face-to-face interaction,Facebook,Instagram,Tik Tok,Snapchat,Discord,What is your age in years?,Which option best describes your gender identity?,Are you of Hispanic or Latino origin or descent?,Please choose one that you identify with
7/6/2021 22:23:53,4,3,3,3,3,4,2,2,4,4,2,1,2,1,2,2,1,2,4,3,2,5,1,3,1,3,1,1,2,1,2,1,1,1,1,1,1,4,5,3,3,15,Male,"No, not Hispanic or Latino",Asian
7/6/2021 22:24:35,4,2,2,2,4,3,2,2,4,4,2,2,2,2,4,3,3,2,4,4,4,5,1,4,4,5,3,3,1,3,3,1,3,3,1,1,2,2,1,1,1,48,Female,"No, not Hispanic or Latino",Asian
7/7/2021 6:33:45,3,3,2,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,,4,4,3,4,3,4,3,,,,,,,,3,3,1,1,1,1,1,46,Male,"No, not Hispanic or Latino",Asian
7/7/2021 10:59:48,2,4,4,4,3,2,4,3,1,2,3,3,4,4,2,2,3,4,1,1,5,5,3,3,5,3,5,5,5,5,5,5,5,4,4,4,1,1,3,1,4,13,Non-binary and female (demigirl),"No, not Hispanic or Latino",Asian
7/7/2021 11:16:09,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,4,4,2,4,5,3,1,1,1,1,3,1,1,3,1,1,2,3,1,3,1,4,1,4,1,15,Female,"No, not Hispanic or Latino",Asian
7/7/2021 11:35:26,4,2,2,2,4,4,1,2,3,3,2,2,3,2,4,2,2,2,4,4,1,5,4,3,3,3,4,3,5,4,2,4,4,5,3,4,1,1,1,1,5,14,Male,"No, not Hispanic or Latino",White/Caucasian
7/7/2021 11:49:31,2,3,2,2,4,2,2,3,1,2,2,2,3,2,1,4,3,2,2,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,15,don't care,"No, not Hispanic or Latino",Asian
7/7/2021 12:03:17,3,2,2,3,3,3,1,3,2,4,2,1,2,2,3,3,4,2,3,3,5,4,2,3,2,2,1,2,1,1,1,3,2,2,3,2,1,4,1,1,4,13,Female,"No, not Hispanic or Latino",Asian
7/7/2021 13:15:11,3,3,4,4,3,2,2,3,4,3,4,2,4,4,3,2,3,3,3,3,4,4,1,3,3,,3,4,2,3,3,4,3,3,4,3,1,1,1,1,5,13,Female,"No, not Hispanic or Latino",Asian
7/7/2021 13:19:50,4,1,1,1,4,4,1,2,4,4,1,1,1,1,4,4,1,1,4,4,3,5,3,2,3,2,2,1,4,2,2,3,3,3,2,2,1,1,1,1,5,17,Male,"No, not Hispanic or Latino",White/Caucasian
7/7/2021 13:24:06,3,2,1,2,4,4,2,2,4,4,2,2,3,2,4,3,2,2,4,4,4,4,2,3,3,1,3,2,2,2,3,2,2,2,1,2,1,4,1,1,4,13,Female,"No, not Hispanic or Latino",Asian
7/7/2021 13:24:56,4,2,2,2,4,4,2,2,4,3,2,1,2,1,4,4,2,2,4,4,5,3,1,2,3,2,1,5,2,1,3,1,1,1,2,3,1,2,1,1,4,15,Female,"No, not Hispanic or Latino",Multi-Racial
7/7/2021 13:27:06,3,2,1,2,2,4,2,4,2,2,1,1,2,1,3,4,4,2,3,3,2,2,1,2,3,3,4,2,4,3,4,4,4,2,1,4,1,1,1,1,4,13,Female,"No, not Hispanic or Latino",Asian
7/7/2021 13:30:25,4,2,1,2,4,4,2,2,2,4,2,1,3,2,4,3,3,2,4,4,3,5,2,5,4,3,4,5,5,4,5,5,5,5,3,4,1,1,1,2,5,19,Male,"Yes, Hispanic or Latino",White/Caucasian
7/7/2021 13:39:47,4,1,1,1,4,2,1,2,4,4,3,1,2,1,4,4,3,2,3,3,1,5,3,3,2,2,2,2,3,1,1,1,1,4,3,2,1,1,1,1,4,13,Male,"No, not Hispanic or Latino",Multi-Racial
7/7/2021 14:32:35,3,3,4,3,3,2,2,4,1,2,2,3,4,2,2,2,4,3,3,2,5,1,1,1,5,4,4,5,4,4,4,4,5,4,3,4,1,2,4,1,5,14,Non-binary,"No, not Hispanic or Latino",Multi-Racial
7/7/2021 14:54:17,4,2,1,1,4,3,2,2,4,4,1,1,1,1,4,4,2,1,4,4,3,2,1,1,4,3,2,3,4,2,4,2,3,1,2,2,1,1,4,1,2,16,Male,"No, not Hispanic or Latino",Multi-Racial
7/7/2021 16:12:29,2,1,1,1,4,4,2,2,3,4,1,1,2,1,3,3,2,2,3,4,5,5,1,4,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,4,16,Male,"No, not Hispanic or Latino",Asian
7/7/2021 16:38:33,3,1,1,2,3,3,1,2,4,3,1,2,1,1,3,3,1,2,4,3,4,5,2,5,3,1,1,1,2,1,2,2,1,2,1,2,2,4,3,5,1,17,Female,"No, not Hispanic or Latino",White/Caucasian
7/7/2021 16:40:01,3,2,1,2,3,3,1,2,3,3,2,1,1,1,3,3,4,3,4,4,3,2,2,1,4,2,4,1,2,3,4,4,3,4,3,3,1,1,1,1,1,13,Male,"No, not Hispanic or Latino",Asian
7/7/2021 16:50:38,3,2,2,3,2,3,3,2,3,3,2,2,2,2,3,3,2,2,3,3,4,5,2,3,2,1,3,2,4,2,2,3,3,4,3,2,1,1,3,3,2,14,Female,"No, not Hispanic or Latino",Asian
7/7/2021 16:51:12,3,2,1,1,4,3,2,2,3,4,1,1,1,2,4,3,3,2,4,4,4,5,1,2,3,2,2,2,3,2,1,2,3,3,1,2,1,2,1,5,4,14,Female,"No, not Hispanic or Latino",Asian
7/7/2021 16:57:13,3,2,2,2,2,2,4,1,3,2,4,4,4,4,3,2,4,4,2,3,3,2,1,5,1,1,1,1,1,2,1,1,1,1,1,4,1,5,5,5,1,15,Female,"No, not Hispanic or Latino",Multi-Racial
7/7/2021 16:57:30,3,2,1,2,4,3,2,1,3,3,3,2,2,2,3,4,1,2,4,4,4,5,4,5,3,2,3,4,2,4,5,4,5,4,3,4,1,3,2,5,5,15,Female,"No, not Hispanic or Latino",Asian
7/7/2021 17:14:06,3,2,2,3,4,3,1,2,3,3,2,2,2,2,1,3,2,3,3,3,5,4,2,4,2,3,1,3,2,1,1,2,3,4,1,3,1,4,4,4,2,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/7/2021 17:23:13,3,2,2,2,2,2,4,1,3,2,4,4,4,4,3,2,4,4,2,3,3,2,1,5,1,1,1,1,1,2,1,1,1,1,1,4,1,5,5,5,1,15,Female,"No, not Hispanic or Latino",Multi-Racial
7/7/2021 17:45:07,3,1,1,1,4,4,2,1,3,4,1,1,1,2,3,3,2,2,4,4,5,5,5,5,4,3,3,3,5,3,4,3,4,4,4,5,2,5,5,1,5,13,Female,"No, not Hispanic or Latino",Multi-Racial
7/7/2021 17:55:00,3,2,1,3,1,3,1,2,3,2,3,2,2,3,2,2,2,3,1,1,4,3,3,2,1,3,2,1,3,2,1,1,3,3,1,2,1,1,1,1,1,16,Female,"No, not Hispanic or Latino",Asian
7/7/2021 18:10:02,4,1,2,2,3,3,1,4,3,3,2,2,4,3,4,3,2,2,2,2,5,4,2,3,3,2,1,4,2,2,1,2,3,4,2,3,1,4,1,1,1,13,Female,"No, not Hispanic or Latino",Asian
7/7/2021 20:27:36,4,2,2,3,4,4,1,3,4,4,2,1,2,1,3,3,1,2,3,3,5,5,3,3,1,3,1,1,1,1,2,1,1,3,1,3,1,5,5,3,5,16,Female,"No, not Hispanic or Latino",Asian
7/7/2021 22:16:59,3,2,2,3,3,3,4,2,3,2,2,3,3,2,2,2,3,3,3,3,4,4,2,3,2,2,2,2,4,2,2,4,2,2,2,2,1,3,4,2,1,17,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 12:48:14,4,1,1,1,4,4,1,1,4,4,2,1,1,1,3,4,2,1,4,4,4,5,1,3,2,3,1,2,1,1,1,1,1,1,1,3,2,3,3,5,1,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 12:50:59,3,1,1,1,3,3,1,1,2,3,1,2,1,1,3,3,3,2,4,4,5,5,2,3,1,1,1,2,3,1,1,1,2,1,1,3,2,1,5,5,1,18,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 12:57:48,4,1,1,1,4,4,3,2,4,4,1,1,1,1,4,4,2,1,4,4,4,5,1,4,,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 13:02:06,3,2,1,1,3,2,2,2,2,3,2,2,1,2,4,4,3,2,3,3,1,5,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,3,16,Male,"Yes, Hispanic or Latino",Multi-Racial
7/8/2021 13:02:51,3,2,1,3,4,4,1,3,2,4,3,2,3,3,2,3,4,3,4,4,1,5,2,5,5,1,2,5,5,2,5,5,5,5,1,4,1,2,1,1,5,16,Male,"No, not Hispanic or Latino",Asian
7/8/2021 13:13:14,4,1,1,1,4,4,1,1,4,4,2,1,1,2,4,4,2,2,4,4,4,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 13:16:35,3,2,2,1,3,3,2,2,3,3,3,3,2,2,3,1,2,2,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 13:48:49,3,1,1,1,4,2,2,3,4,4,3,2,2,3,3,1,3,2,4,4,2,4,1,2,1,1,1,1,1,1,3,1,1,4,1,1,1,4,1,4,1,16,Male,"No, not Hispanic or Latino",American Indian or Alaska Native
7/8/2021 14:17:40,3,1,1,1,4,3,1,2,3,4,2,1,2,1,3,3,3,2,4,4,5,5,2,4,2,1,2,1,3,2,2,3,3,4,2,3,1,1,2,3,4,15,Male,"No, not Hispanic or Latino",Multi-Racial
7/8/2021 14:25:36,4,1,1,1,4,4,1,1,4,4,2,1,1,1,4,1,1,1,4,4,5,5,1,5,1,2,1,1,1,1,3,1,1,1,1,1,1,3,4,5,4,16,Male,"No, not Hispanic or Latino",Asian
7/8/2021 14:25:41,3,2,1,2,4,3,1,2,1,3,2,1,2,2,1,3,4,2,3,3,4,4,1,4,1,1,2,3,4,2,4,3,4,4,1,3,1,2,4,2,5,16,Male,"No, not Hispanic or Latino",Asian
7/8/2021 14:27:29,3,1,1,1,4,4,1,1,3,4,2,1,1,1,4,4,1,1,4,4,1,5,1,5,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,5,2,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 14:27:39,3,1,1,2,4,4,2,2,4,4,2,1,1,2,3,4,2,1,4,4,4,5,1,5,1,2,1,2,3,1,1,1,1,2,1,1,1,3,4,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 14:27:58,4,1,2,2,3,3,1,1,3,3,2,2,1,1,4,4,1,2,4,4,3,5,1,5,3,1,2,2,1,1,2,1,1,1,1,3,2,3,3,5,3,16,Male,"No, not Hispanic or Latino",Black or African-American
7/8/2021 14:32:58,2,2,3,3,3,3,2,2,3,3,3,2,4,3,3,2,3,3,3,3,4,3,3,4,4,5,3,2,2,3,4,4,4,3,1,3,1,2,5,4,2,16,Female,"No, not Hispanic or Latino",Black or African-American
7/8/2021 14:56:05,3,4,2,3,3,3,3,4,3,3,3,2,2,2,2,3,2,4,3,3,2,4,2,2,2,1,1,4,3,2,3,4,4,2,2,3,2,3,4,4,3,18,Female,"No, not Hispanic or Latino",Asian
7/8/2021 15:01:40,2,4,2,2,1,3,4,1,3,3,2,3,4,3,1,3,2,4,3,3,4,3,2,4,1,1,2,2,3,2,4,1,1,3,1,1,1,2,4,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 15:02:03,3,2,1,2,3,3,1,3,4,3,2,3,1,1,3,3,1,2,4,4,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,18,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 15:29:23,4,2,1,1,2,3,2,2,4,3,3,2,3,2,2,2,1,2,3,3,5,5,2,4,3,1,1,2,1,1,1,1,2,2,1,1,1,4,5,5,1,16,Female,"Yes, Hispanic or Latino",White/Caucasian
7/8/2021 15:36:42,3,1,2,2,2,2,1,2,3,3,2,4,3,1,3,2,2,4,4,4,3,5,2,5,2,3,2,2,4,1,2,4,4,1,1,3,4,3,5,5,1,16,Female,"No, not Hispanic or Latino",Asian
7/8/2021 15:37:28,2,4,2,2,1,3,4,1,3,3,2,3,4,3,1,3,2,4,3,3,4,3,2,4,1,1,2,2,3,2,4,1,1,3,1,1,1,2,4,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 15:53:51,3,2,4,2,2,3,3,2,4,3,4,3,4,3,2,2,1,2,2,3,3,5,1,4,2,3,3,4,2,3,3,3,3,4,4,2,1,4,5,4,1,15,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 16:14:15,2,3,2,3,2,2,4,3,4,2,3,4,3,3,2,2,2,1,3,3,5,5,3,4,4,3,4,4,4,5,3,1,3,4,1,1,5,5,5,5,1,19,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 17:10:57,4,2,1,1,3,3,2,2,4,4,1,1,2,1,4,4,2,2,3,3,5,5,3,5,2,3,1,1,4,1,1,1,1,2,2,3,1,1,4,5,5,14,Male,"No, not Hispanic or Latino",Asian
7/8/2021 17:28:12,3,4,2,3,3,2,2,2,3,3,3,3,4,2,3,2,3,2,2,3,5,4,2,2,3,1,1,1,1,1,2,1,2,2,2,1,1,4,5,5,2,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 17:46:18,3,2,2,2,3,4,2,1,3,4,2,1,1,2,3,2,2,3,3,4,3,4,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,14,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 17:47:10,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,4,1,4,4,3,5,1,4,3,2,1,1,2,1,1,1,2,2,1,1,2,5,5,5,4,17,Male,"No, not Hispanic or Latino",Multi-Racial
7/8/2021 17:52:18,3,1,2,4,3,2,4,4,2,2,3,2,3,4,2,2,3,3,2,2,5,4,2,2,5,2,1,3,1,1,2,2,2,2,1,1,2,5,2,5,2,15,Female,"No, not Hispanic or Latino",Middle eastern and Caucasian 
7/8/2021 18:04:28,3,2,2,3,3,2,2,3,2,3,3,2,3,2,4,3,4,3,3,3,4,5,2,2,1,3,2,3,4,1,1,1,2,1,1,4,3,5,4,4,3,16,Female,"No, not Hispanic or Latino",Asian
7/8/2021 18:21:57,3,2,2,2,3,3,2,2,3,3,2,1,2,2,3,4,3,2,4,4,5,4,2,3,3,2,3,2,5,3,3,2,5,4,2,4,1,4,4,2,1,15,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 18:26:00,2,1,1,1,4,3,1,1,1,4,1,1,1,1,4,4,3,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,15,Female,"Yes, Hispanic or Latino",American Indian or Alaska Native
7/8/2021 18:27:53,3,2,2,2,2,3,2,2,3,4,2,2,3,2,3,2,2,2,3,2,5,3,2,1,2,2,3,2,3,2,5,2,4,3,3,4,1,5,1,1,3,16,Male,"No, not Hispanic or Latino",Asian
