Timestamp,"How often do you feel that you are ""in tune"" with the people around you?",How often do you feel that you lack companionship?,How often do you feel that there is no one you can turn to?,How often do you feel alone?,How often do you feel part of a group of friends?,How often do you feel that you have a lot in common with the people around you?,How often do you feel that you are no longer close to anyone?,How often do you feel that your interests and ideas are not shared by those around you?,How often do you feel outgoing and friendly?,How often do you feel close to people?,How often do you feel left out?,How often do you feel that your relationships with others are not meaningful?,How often do you feel that no one really knows you well?,How often do you feel isolated from others?,How often do you feel you can find companionship when you want it?,How often do you feel that there are people who really understand you?,How often do you feel shy?,How often do you feel that people are around you but not with you?,How often do you feel that there are people you can talk to?,How often do you feel that there are people you can turn to?,I use social media more now than before the pandemic,I spend time communicating with people online every day ,I spend the whole day doing nothing but communicating with others online,I will communicate with others online as soon as I open my device,I prefer seeking for help online rather than face-to-face if there are difficulties or problems in my life,I prefer shopping with others online rather than face-to-face,I prefer online social interaction over face-to-face communication,I prefer to pour out my worries and troubles with others online rather than doing it face-to-face,I prefer to play digital games online with friends rather than play games face-to-face,I prefer communicating with people online rather than face-to-face,I prefer to seek supportive information from people online rather than face-to-face with people when I am in trouble,I feel more effective communicating with others online than during face-to-face interaction,I feel more comfortable communicating with others online than during face-to-face interaction ,I feel safer when communicating with others online than during face-to-face interaction ,I feel more intimate with online friends than offline friends,I feel more at ease and natural when communicating with others online than during face-to-face interaction,Facebook,Instagram,Tik Tok,Snapchat,Discord,What is your age in years?,Which option best describes your gender identity?,Are you of Hispanic or Latino origin or descent?,Please choose one that you identify with
7/8/2021 18:47:28,3,2,3,4,2,1,3,2,3,2,1,3,4,4,2,1,3,,4,3,5,4,3,2,1,1,1,5,3,1,5,3,4,5,1,2,1,2,1,1,4,12,Male,"No, not Hispanic or Latino",Asian
7/8/2021 18:48:01,3,3,3,3,4,3,4,3,2,2,3,2,4,4,3,2,4,4,2,2,5,4,3,3,2,4,2,5,3,2,5,2,5,5,2,4,1,4,5,5,1,14,Female,"No, not Hispanic or Latino",Asian
7/8/2021 18:57:03,4,1,3,2,4,3,1,2,3,3,2,2,3,2,4,2,1,2,2,3,5,4,1,4,4,1,1,4,1,1,1,2,3,3,2,3,2,5,3,5,1,15,Male,"No, not Hispanic or Latino",Asian
7/8/2021 18:58:10,2,4,3,3,1,4,4,4,3,1,3,4,4,4,2,4,3,4,2,2,5,5,4,5,5,5,5,5,5,2,5,5,5,5,5,5,1,2,1,1,5,17,Male,"No, not Hispanic or Latino",Asian
7/8/2021 20:14:19,4,2,2,3,2,2,2,3,4,2,2,2,3,1,3,3,2,2,3,3,5,5,2,3,3,2,1,3,1,1,4,2,2,2,3,1,1,3,5,1,5,16,Non-binary,"No, not Hispanic or Latino",Asian
7/8/2021 20:21:50,4,3,2,2,3,4,3,2,4,3,2,3,3,2,3,2,1,2,3,3,4,5,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,5,4,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 20:29:41,3,4,4,4,2,2,4,4,1,3,3,4,4,4,2,2,4,4,2,2,5,4,2,4,5,1,4,5,3,4,4,4,3,3,2,3,1,5,1,1,1,13,Female,"No, not Hispanic or Latino",Asian
7/8/2021 20:31:17,3,3,1,2,2,3,2,2,2,3,2,2,2,2,3,2,3,2,3,3,3,4,1,2,1,2,1,2,2,2,1,1,3,3,1,2,1,4,3,2,1,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 20:43:52,3,1,1,2,3,3,1,2,2,4,1,1,2,2,4,4,3,1,4,4,5,5,2,3,4,2,3,2,5,1,1,4,3,1,3,4,1,1,1,1,5,13,Male,"No, not Hispanic or Latino",Asian
7/8/2021 20:46:21,4,1,1,1,4,3,1,2,3,4,1,1,1,1,4,4,2,2,4,4,2,3,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,4,1,4,1,15,Male,"No, not Hispanic or Latino",Asian
7/8/2021 20:48:47,4,1,1,1,3,3,2,2,3,3,2,2,2,2,2,2,2,2,3,1,3,3,3,2,5,1,1,1,3,2,1,2,1,1,4,4,1,1,1,1,1,14,Male,"No, not Hispanic or Latino",Asian
7/8/2021 21:13:15,2,3,2,3,2,2,3,3,2,2,4,3,3,4,2,3,3,3,2,2,4,2,1,1,2,2,2,2,3,2,2,2,2,3,1,1,1,2,2,1,3,16,Female,"Yes, Hispanic or Latino",White/Caucasian
7/8/2021 21:13:46,3,4,3,3,1,2,4,3,2,2,4,3,4,3,2,2,3,3,2,2,4,5,2,4,4,3,4,3,4,5,2,4,4,4,3,5,1,4,5,4,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 21:17:05,1,2,2,2,3,3,2,3,2,3,2,3,1,2,2,1,3,3,2,2,1,1,1,1,1,4,2,1,3,3,3,2,2,1,1,1,1,1,1,1,1,12,Female,"No, not Hispanic or Latino",Asian
7/8/2021 21:20:27,3,2,1,2,3,3,1,2,4,4,1,1,1,1,3,3,1,1,4,4,1,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,5,1,2,16,Female,"No, not Hispanic or Latino",Asian
7/8/2021 21:27:03,3,1,1,1,4,3,1,2,3,4,2,2,2,1,1,4,2,2,3,3,3,5,1,2,2,3,2,3,5,3,1,1,3,3,3,3,1,2,3,2,5,13,Male,"No, not Hispanic or Latino",Asian
7/8/2021 21:39:49,4,2,1,2,3,4,3,1,4,4,2,2,3,2,3,2,1,1,4,4,2,4,1,3,2,1,1,1,4,1,3,1,1,1,1,1,1,3,5,4,3,15,Male,"No, not Hispanic or Latino",Asian
7/8/2021 22:31:00,4,1,1,1,4,3,1,1,3,3,1,1,1,1,3,2,2,1,4,4,5,5,3,3,3,1,3,4,5,2,2,4,3,5,4,5,1,3,4,2,5,13,Male,"No, not Hispanic or Latino",Asian
7/8/2021 22:42:42,3,2,1,1,3,4,2,2,4,4,2,1,1,2,4,3,2,2,4,4,5,5,3,2,4,2,2,4,4,2,4,3,3,4,3,4,1,1,3,1,5,15,Male,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 22:51:28,4,1,1,1,4,4,1,1,4,3,2,1,2,1,4,3,2,1,4,4,5,5,1,4,3,2,1,2,2,1,1,1,1,1,1,1,1,5,4,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/8/2021 23:57:54,4,1,2,2,2,2,2,2,2,3,3,2,2,2,4,4,3,3,3,4,3,4,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,4,1,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/9/2021 0:09:28,2,3,2,3,2,2,4,2,2,2,3,4,4,2,2,2,4,4,3,3,4,3,2,3,5,3,5,4,3,5,4,4,4,4,2,4,1,1,2,2,4,17,Male,"No, not Hispanic or Latino",White/Caucasian
7/9/2021 7:24:52,2,2,1,2,3,2,3,2,4,2,3,1,2,3,3,2,2,3,4,4,5,5,4,5,3,1,2,4,2,2,3,3,4,4,2,5,2,5,1,1,1,15,Female,"No, not Hispanic or Latino",Asian
7/9/2021 8:36:45,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,4,3,2,2,3,2,1,1,3,1,4,2,3,3,2,5,5,4,1,5,1,2,1,1,3,15,Male,"No, not Hispanic or Latino",Asian
7/9/2021 11:18:55,2,3,1,2,2,2,3,3,4,3,2,3,3,3,2,4,1,2,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,Male,"No, not Hispanic or Latino",White/Caucasian
7/9/2021 12:54:36,3,2,3,3,2,2,3,4,3,3,3,4,4,3,2,2,3,4,3,3,4,5,2,2,5,2,2,4,4,2,4,2,4,4,2,4,1,4,4,3,3,13,Female,"No, not Hispanic or Latino",Asian
7/9/2021 12:57:01,3,3,3,2,3,2,2,2,3,3,2,1,3,2,3,3,2,3,3,3,1,2,1,4,1,2,2,2,2,2,2,2,2,1,3,2,1,2,1,1,3,14,Female,"No, not Hispanic or Latino",Asian
7/9/2021 13:15:55,3,4,4,4,3,2,3,4,2,2,3,3,4,3,1,2,3,4,2,2,3,4,1,2,1,1,3,1,3,2,2,4,3,2,2,3,4,1,1,1,1,13,Male,"No, not Hispanic or Latino",White/Caucasian
7/9/2021 13:16:48,3,2,2,1,4,4,1,1,3,4,2,1,1,2,3,4,3,2,4,4,4,5,2,1,1,3,2,2,2,1,1,1,2,1,1,3,1,1,4,1,1,13,Female,"No, not Hispanic or Latino",White/Caucasian
7/9/2021 13:24:29,3,2,3,2,4,3,1,2,2,3,2,2,2,2,3,3,4,3,3,4,4,5,4,5,2,2,3,3,3,2,2,3,3,2,3,2,1,4,1,4,5,14,Female,"No, not Hispanic or Latino",Asian
7/9/2021 15:32:42,4,2,1,2,4,3,1,3,4,4,2,2,2,2,4,4,3,2,4,4,3,5,1,4,3,2,2,3,3,2,3,2,3,3,2,1,2,4,4,4,1,15,Female,"No, not Hispanic or Latino",Asian
7/9/2021 15:53:21,3,3,3,3,2,3,4,2,3,3,2,4,4,3,2,1,2,4,2,1,3,2,1,3,2,1,2,2,2,2,1,2,1,3,1,1,1,1,1,1,1,13,Female,"No, not Hispanic or Latino",Asian
7/9/2021 17:39:44,3,1,3,2,3,3,1,2,4,3,2,1,3,2,4,3,2,4,3,2,3,5,4,3,3,2,3,1,4,3,3,2,3,3,3,4,1,4,1,1,5,15,Female,"No, not Hispanic or Latino",Asian
7/9/2021 17:40:53,3,2,2,3,3,3,3,4,3,4,3,2,3,2,3,2,3,3,3,2,4,3,3,2,2,3,2,2,2,1,1,3,3,2,2,2,3,3,4,3,4,14,Non-binary,"No, not Hispanic or Latino",White/Caucasian
7/9/2021 17:50:30,4,2,2,2,4,4,3,2,4,4,3,2,2,2,4,4,4,3,4,4,4,5,2,3,2,2,1,2,4,2,2,1,3,1,1,4,1,3,3,3,1,12,Female,"No, not Hispanic or Latino",Asian
7/9/2021 18:26:20,3,3,2,2,3,3,2,2,2,2,2,3,3,2,3,2,4,3,2,2,5,3,2,2,4,3,5,4,3,4,3,2,5,3,3,4,1,4,4,4,2,13,Female,"No, not Hispanic or Latino",Asian
7/9/2021 19:13:47,3,2,1,2,2,3,2,3,3,3,2,2,2,1,3,3,1,2,3,3,3,4,1,2,3,3,1,2,3,3,2,2,2,3,2,2,2,2,3,3,1,13,Attack helicopter,"No, not Hispanic or Latino",Attack helicopter
7/9/2021 20:05:05,3,2,3,3,3,2,4,3,2,2,2,3,3,3,2,2,3,2,2,2,4,4,4,3,4,4,4,3,4,4,3,4,4,3,3,3,1,4,1,4,5,13,Female,"No, not Hispanic or Latino",Asian
7/9/2021 20:13:23,3,2,1,2,2,3,2,3,3,3,2,2,2,1,3,3,1,2,3,3,3,4,1,2,3,3,1,2,3,3,2,2,2,3,2,2,2,2,3,3,1,13,Attack helicopter,"No, not Hispanic or Latino",Attack helicopter
7/9/2021 21:02:56,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,2,1,4,4,4,5,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,3,4,4,2,14,Male,"No, not Hispanic or Latino",White/Caucasian
7/9/2021 21:15:24,4,2,1,1,3,3,1,2,2,3,3,3,2,2,3,3,4,2,4,4,4,4,1,4,2,3,2,3,1,1,3,4,4,4,1,3,1,5,3,4,1,,Female,"No, not Hispanic or Latino",White/Caucasian
7/9/2021 23:11:26,4,2,1,2,4,3,2,2,4,3,2,2,2,2,4,4,2,2,4,4,2,3,1,2,3,2,3,2,1,3,2,3,3,2,2,3,1,1,2,1,1,12,Female,"No, not Hispanic or Latino",Prefer not to answer
7/9/2021 23:37:16,3,1,1,1,2,3,1,2,3,3,1,1,3,1,4,3,2,2,3,3,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,41,Male,"No, not Hispanic or Latino",Asian
7/10/2021 14:31:09,4,2,1,1,4,3,1,2,3,3,2,1,1,1,3,4,2,1,3,3,2,5,2,3,1,1,1,1,4,1,1,1,2,2,1,2,1,1,1,1,4,15,Male,"No, not Hispanic or Latino",Asian
7/10/2021 16:49:15,2,3,1,2,4,3,2,1,3,3,3,2,1,2,3,4,3,2,3,3,5,5,2,3,4,3,1,2,3,1,2,2,2,3,2,2,1,4,5,3,2,17,Female,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 16:50:36,3,2,1,2,4,4,2,2,4,4,2,1,1,1,3,4,2,2,4,3,5,5,3,4,3,1,3,5,4,3,4,5,3,1,2,4,1,4,5,5,5,15,Male,"No, not Hispanic or Latino",I am unaware of my racial origins
7/10/2021 16:50:36,4,1,1,2,4,3,1,1,4,4,1,1,1,1,4,3,1,1,4,4,5,5,3,3,1,1,1,1,2,1,1,3,1,1,1,1,1,5,1,3,1,15,Female,"No, not Hispanic or Latino",Asian
7/10/2021 16:51:47,3,2,2,2,2,3,2,2,4,3,2,2,2,2,3,3,1,2,3,3,5,4,2,3,3,2,1,3,1,1,2,3,2,2,1,3,1,5,1,5,3,16,Male,"No, not Hispanic or Latino",Asian
7/10/2021 16:52:02,1,4,3,4,1,2,3,4,2,2,4,3,4,4,2,1,3,4,2,2,3,5,2,3,2,1,1,1,3,1,1,3,1,1,1,2,3,5,4,4,1,17,Male,"No, not Hispanic or Latino",Multi-Racial
7/10/2021 16:57:28,3,1,1,1,3,2,2,2,2,3,1,2,2,1,3,3,3,2,4,3,4,4,3,2,1,1,2,3,3,2,3,1,2,3,2,3,1,5,5,5,5,15,Female,"No, not Hispanic or Latino",Asian
7/10/2021 17:07:36,4,1,1,1,1,4,1,1,4,4,1,1,1,1,4,4,1,1,4,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,1,15,Male,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 17:13:02,3,3,1,3,2,3,3,3,3,4,2,1,1,2,3,4,3,2,4,4,3,5,1,1,1,4,1,1,3,1,3,2,3,3,1,3,1,4,4,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 17:17:10,2,4,3,4,2,3,4,2,2,2,3,4,3,3,4,3,3,4,3,2,4,3,3,2,1,1,3,4,5,3,3,3,3,3,4,4,1,2,1,1,5,14,Female,"No, not Hispanic or Latino",Asian
7/10/2021 17:26:54,4,2,2,2,2,3,1,1,4,4,2,1,1,1,3,3,2,2,4,4,5,5,2,5,2,3,2,3,2,2,3,2,2,5,1,3,3,4,4,5,1,19,Male,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 17:28:39,2,4,1,4,1,2,4,2,3,1,4,4,3,3,2,3,3,4,3,3,5,4,3,2,2,2,1,1,2,1,4,2,4,3,2,2,1,5,1,4,1,14,Female,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 17:35:40,3,2,1,2,4,3,2,3,3,3,3,1,1,3,2,3,3,2,3,3,5,5,2,4,1,1,5,1,1,1,1,1,5,1,1,1,2,5,1,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 17:48:12,3,4,3,4,3,3,3,3,3,3,4,3,4,4,2,3,2,3,2,2,4,4,2,3,2,1,1,2,1,1,2,2,2,2,1,1,2,4,4,1,1,15,Non-binary,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 18:21:46,3,4,4,4,3,3,2,3,4,3,4,4,4,4,3,2,3,4,2,2,4,5,5,5,5,5,1,2,1,3,5,5,5,5,1,3,1,5,1,5,3,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 18:35:22,2,4,4,3,2,1,4,4,3,2,3,4,4,3,2,1,2,3,2,2,2,5,3,4,3,2,1,1,1,2,3,2,3,4,1,1,2,5,5,5,3,16,Male,"No, not Hispanic or Latino",Multi-Racial
7/10/2021 18:56:04,3,2,1,2,2,3,2,3,3,3,2,2,2,1,3,3,1,2,3,3,3,4,1,2,3,3,1,2,3,3,2,2,2,3,2,2,2,2,3,3,1,13,Attack helicopter,"No, not Hispanic or Latino",Attack helicopter
7/10/2021 18:56:25,3,3,1,2,4,3,1,2,2,4,3,2,2,3,3,4,4,2,4,4,4,5,1,3,3,1,1,2,2,1,2,1,3,3,1,2,1,4,2,4,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 19:00:18,2,1,2,4,3,2,4,3,1,2,1,4,3,4,3,2,1,4,2,1,5,5,2,3,4,4,5,3,5,5,4,5,5,5,5,5,2,4,4,3,5,16,Agender,"No, not Hispanic or Latino",Asian
7/10/2021 20:09:19,3,2,1,2,3,3,1,1,3,4,3,2,2,2,3,3,3,2,3,3,5,5,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,4,5,3,1,17,Male,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 21:02:41,2,2,2,3,2,4,4,2,3,3,4,2,2,3,3,3,1,2,3,3,5,2,2,3,3,2,1,2,1,2,4,3,4,4,1,3,1,2,4,4,1,15,Female,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 21:38:02,3,3,4,4,3,2,4,3,3,3,4,4,4,3,3,2,3,3,3,2,5,5,3,4,5,3,5,4,5,4,4,4,4,3,3,3,3,4,5,5,5,13,Non-binary,"No, not Hispanic or Latino",Asian
7/10/2021 23:28:39,3,4,4,4,3,2,4,4,3,2,3,3,4,4,2,2,2,4,2,2,4,5,3,5,4,2,2,1,3,2,3,2,4,4,2,4,1,3,5,4,4,14,Female,"No, not Hispanic or Latino",White/Caucasian
7/10/2021 23:44:42,3,2,2,2,4,3,2,3,3,3,2,3,4,2,3,2,3,3,2,3,3,4,1,4,3,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5,1,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/11/2021 9:56:51,3,2,2,2,3,2,1,1,2,3,2,1,1,2,3,3,2,2,3,4,4,5,2,2,3,2,1,2,1,1,2,4,2,2,2,2,1,2,1,2,4,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/11/2021 10:45:45,3,2,2,3,3,2,2,2,3,3,3,2,2,2,3,3,2,2,3,2,4,5,3,2,2,1,1,1,2,1,2,2,1,1,1,1,1,5,5,5,1,17,Male,"No, not Hispanic or Latino",Arab
7/11/2021 10:53:10,4,2,1,2,4,4,1,4,4,4,3,1,1,1,4,4,2,1,4,4,5,4,2,3,1,3,1,1,2,1,1,1,1,2,1,1,1,5,5,5,5,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/11/2021 10:53:44,3,3,2,2,2,2,3,3,4,3,3,3,3,3,2,2,1,3,2,2,5,4,3,4,1,1,1,2,1,2,1,4,2,1,2,2,2,5,5,5,1,16,Female,"Yes, Hispanic or Latino",
7/11/2021 13:29:29,3,2,1,,4,3,3,2,3,3,2,1,2,2,3,,2,1,3,3,5,4,2,1,3,1,3,2,5,3,3,2,3,4,3,3,1,1,1,1,5,13,Male,"No, not Hispanic or Latino",Asian
7/11/2021 17:50:10,4,2,2,2,3,3,2,2,3,3,2,3,3,2,3,3,2,2,3,3,5,5,5,5,4,5,3,4,3,4,4,3,4,4,3,4,1,4,4,5,4,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/11/2021 18:40:51,3,2,2,2,2,2,1,2,2,3,2,2,2,2,4,3,2,2,3,3,4,3,1,2,3,3,3,2,2,2,3,3,3,3,2,4,1,1,2,2,1,16,Male,"No, not Hispanic or Latino",Multi-Racial
7/11/2021 22:14:29,3,2,1,2,3,3,2,2,3,3,2,2,1,1,2,3,2,2,4,4,5,5,2,4,2,5,1,2,1,1,2,2,2,1,1,3,1,5,5,5,1,16,Female,"No, not Hispanic or Latino",White/Caucasian
7/12/2021 2:29:49,3,3,3,2,4,3,4,1,4,2,2,3,3,3,2,2,2,3,1,1,5,5,1,2,2,3,1,4,3,2,3,2,3,3,3,2,1,5,1,1,1,17,Female,"No, not Hispanic or Latino",Asian
7/12/2021 10:31:15,3,1,1,2,1,2,3,2,2,2,2,3,3,4,3,3,4,4,3,3,1,5,4,4,2,1,1,3,1,3,1,3,3,3,3,3,2,1,1,1,1,53,Female,"No, not Hispanic or Latino",White/Caucasian
7/12/2021 11:20:32,2,2,2,2,2,3,3,4,2,3,4,3,2,3,2,1,4,3,2,2,3,2,1,1,4,3,4,2,3,4,2,5,5,5,4,4,1,1,1,1,1,13,Female,"No, not Hispanic or Latino",Asian
7/12/2021 13:17:47,3,2,3,2,2,2,2,3,1,2,3,2,3,4,2,3,3,4,3,3,5,3,4,2,5,5,4,3,5,3,3,3,3,4,2,4,1,3,5,5,3,16,Male,"No, not Hispanic or Latino",White/Caucasian
7/13/2021 10:53:07,3,2,2,3,3,3,3,4,3,4,3,2,3,2,3,2,3,3,3,2,4,3,3,2,2,3,2,2,2,1,1,3,3,2,2,2,3,3,4,3,4,14,Non-binary,"No, not Hispanic or Latino",White/Caucasian
7/13/2021 11:26:25,1,2,,3,2,2,2,2,4,2,1,2,4,2,3,4,2,3,4,4,4,4,2,3,3,1,2,3,3,2,3,2,4,4,2,2,1,4,4,5,4,,Male,"No, not Hispanic or Latino",Multi-Racial